8, 67108864, 536870912, 3560758481.322871
16, 33554432, 536870912, 3800923287.137825
32, 16777216, 536870912, 3751166338.637264
64, 8388608, 536870912, 4183856615.852798
128, 4194304, 536870912, 3823104452.103569
256, 2097152, 536870912, 4544936532.837813
512, 1048576, 536870912, 4908559296.590668
1024, 524288, 536870912, 5174908785.965589
2048, 262144, 536870912, 4994208994.412141
4096, 131072, 536870912, 4772230955.514580
8192, 65536, 536870912, 4936758204.477599
16384, 32768, 536870912, 4825911686.829094
32768, 16384, 536870912, 4853108777.131571
65536, 8192, 536870912, 4719720942.039298
131072, 4096, 536870912, 4668592412.474095
262144, 2048, 536870912, 4569136018.204343
524288, 1024, 536870912, 4149813059.884819
1048576, 512, 536870912, 4130648051.199267
2097152, 256, 536870912, 4170944268.185504
4194304, 128, 536870912, 4908949209.418854
8388608, 64, 536870912, 4754614940.785498
16777216, 32, 536870912, 5302533501.896334
33554432, 16, 536870912, 5473813175.230903
67108864, 8, 536870912, 4382981956.671929
134217728, 4, 536870912, 381787376.413174
268435456, 2, 536870912, 86165128.289769
