8, 67108864, 536870912, 11098723303.749434
16, 33554432, 536870912, 10349455947.006527
32, 16777216, 536870912, 9761167294.499727
64, 8388608, 536870912, 10872454120.172543
128, 4194304, 536870912, 11013908649.253702
256, 2097152, 536870912, 15338210276.143457
512, 1048576, 536870912, 16520248694.140364
1024, 524288, 536870912, 15909761133.213316
2048, 262144, 536870912, 15907669243.889204
4096, 131072, 536870912, 15069849181.064127
8192, 65536, 536870912, 14559309880.066984
16384, 32768, 536870912, 14559186496.294075
32768, 16384, 536870912, 14808827769.780453
65536, 8192, 536870912, 15071990960.245787
131072, 4096, 536870912, 14559408588.591032
262144, 2048, 536870912, 15069161825.434973
524288, 1024, 536870912, 14081952327.556246
1048576, 512, 536870912, 11929122684.809071
2097152, 256, 536870912, 12449415122.313898
4194304, 128, 536870912, 11612727581.451941
8388608, 64, 536870912, 11932287699.509647
16777216, 32, 536870912, 11610608570.829983
33554432, 16, 536870912, 11610734120.274063
67108864, 8, 536870912, 10474227098.580421
134217728, 4, 536870912, 8200493171.295191
268435456, 2, 536870912, 6230947656.739630
