8, 67108864, 536870912, 20711114145.871006
16, 33554432, 536870912, 11767130403.811537
32, 16777216, 536870912, 11012680181.127275
64, 8388608, 536870912, 15337306527.064571
128, 4194304, 536870912, 20955506636.774143
256, 2097152, 536870912, 22025586264.544945
512, 1048576, 536870912, 22604734114.724503
1024, 524288, 536870912, 22025755694.303776
2048, 262144, 536870912, 22603187605.254295
4096, 131072, 536870912, 18675516606.987175
8192, 65536, 536870912, 18277078777.149860
16384, 32768, 536870912, 17895846198.718323
32768, 16384, 536870912, 18670807876.141396
65536, 8192, 536870912, 20955608880.952206
131072, 4096, 536870912, 19977428338.860699
262144, 2048, 536870912, 19974687511.190792
524288, 1024, 536870912, 19978264673.321487
1048576, 512, 536870912, 15910262089.761232
2097152, 256, 536870912, 14812326211.636816
4194304, 128, 536870912, 14316533792.443680
8388608, 64, 536870912, 13645126463.804399
16777216, 32, 536870912, 13636505141.906458
33554432, 16, 536870912, 13215263656.517450
67108864, 8, 536870912, 12637404636.888851
134217728, 4, 536870912, 11303690758.142601
268435456, 2, 536870912, 7282055566.152341
536870912, 1, 536870912, 1443998341.154350
