8, 67108864, 536870912, 11095612345.545057
16, 33554432, 536870912, 10225723058.169212
32, 16777216, 536870912, 10106352334.361624
64, 8388608, 536870912, 10349418538.973869
128, 4194304, 536870912, 11012228399.714886
256, 2097152, 536870912, 15340045488.313618
512, 1048576, 536870912, 15907787082.185921
1024, 524288, 536870912, 15618233275.272095
2048, 262144, 536870912, 16207362598.631704
4096, 131072, 536870912, 15339388048.400690
8192, 65536, 536870912, 14810078847.460197
16384, 32768, 536870912, 13421856686.604292
32768, 16384, 536870912, 13421563088.076750
65536, 8192, 536870912, 14557706054.119829
131072, 4096, 536870912, 14318419047.809549
262144, 2048, 536870912, 14808649061.652031
524288, 1024, 536870912, 14081813817.003878
1048576, 512, 536870912, 12099692352.767176
2097152, 256, 536870912, 11608160899.254181
4194304, 128, 536870912, 12277754643.141987
8388608, 64, 536870912, 12099470791.317049
16777216, 32, 536870912, 11932155099.750242
33554432, 16, 536870912, 11770742277.703934
67108864, 8, 536870912, 11012764894.268961
134217728, 4, 536870912, 8686607850.771233
268435456, 2, 536870912, 5083637777.101795
